scenario,condition,run,t_start,t_end,duration_ms,outcome,detail
t1,scale=50;changes=5;events=off,9,2026-07-01T09:00:30.490000000Z,2026-07-01T09:00:30.770000000Z,280,ok,
t1,scale=50;changes=5;events=off,10,2026-07-01T09:00:31.770000000Z,2026-07-01T09:00:32.060000000Z,290,ok,
t1,scale=50;changes=5;events=off,11,2026-07-01T09:00:33.060000000Z,2026-07-01T09:00:33.360000000Z,300,ok,
t1,scale=50;changes=5;events=off,12,2026-07-01T09:00:34.360000000Z,2026-07-01T09:00:34.670000000Z,310,ok,
t1,scale=50;changes=5;events=off,13,2026-07-01T09:00:35.670000000Z,2026-07-01T09:00:41.670000000Z,6000,timeout,
t2,drift=image;service=web_nginx;events=on,1,2026-07-01T09:00:42.670000000Z,2026-07-01T09:00:42.720000000Z,50,ok,detect
t2,drift=image;service=web_nginx;events=on,2,2026-07-01T09:00:43.720000000Z,2026-07-01T09:00:43.775000000Z,55,ok,detect
t2,drift=image;service=web_nginx;events=on,3,2026-07-01T09:00:44.775000000Z,2026-07-01T09:00:44.835000000Z,60,ok,detect
t2,drift=image;service=web_nginx;events=on,4,2026-07-01T09:00:45.835000000Z,2026-07-01T09:00:45.900000000Z,65,ok,detect
t2,drift=image;service=web_nginx;events=on,5,2026-07-01T09:00:46.900000000Z,2026-07-01T09:00:46.970000000Z,70,ok,detect
t2,drift=image;service=web_nginx;events=on,6,2026-07-01T09:00:47.970000000Z,2026-07-01T09:00:48.045000000Z,75,ok,detect
t2,drift=image;service=web_nginx;events=on,7,2026-07-01T09:00:49.045000000Z,2026-07-01T09:00:49.125000000Z,80,ok,detect
t2,drift=image;service=web_nginx;events=on,8,2026-07-01T09:00:50.125000000Z,2026-07-01T09:00:50.210000000Z,85,ok,detect
t2,drift=image;service=web_nginx;events=on,9,2026-07-01T09:00:51.210000000Z,2026-07-01T09:00:51.300000000Z,90,ok,detect
t2,drift=image;service=web_nginx;events=on,10,2026-07-01T09:00:52.300000000Z,2026-07-01T09:00:52.395000000Z,95,ok,detect
t2,drift=image;service=web_nginx;events=on,11,2026-07-01T09:00:53.395000000Z,2026-07-01T09:00:53.495000000Z,100,ok,detect
t2,drift=image;service=web_nginx;events=on,12,2026-07-01T09:00:54.495000000Z,2026-07-01T09:00:54.600000000Z,105,ok,detect
t2,drift=image;service=web_nginx;events=on,13,2026-07-01T09:00:55.600000000Z,2026-07-01T09:00:55.690000000Z,90,error,detect
t2,drift=image;service=web_nginx;events=on,1,2026-07-01T09:00:56.690000000Z,2026-07-01T09:00:56.990000000Z,300,ok,repair
t2,drift=image;service=web_nginx;events=on,2,2026-07-01T09:00:57.990000000Z,2026-07-01T09:00:58.310000000Z,320,ok,repair
t2,drift=image;service=web_nginx;events=on,3,2026-07-01T09:00:59.310000000Z,2026-07-01T09:00:59.650000000Z,340,ok,repair
t2,drift=image;service=web_nginx;events=on,4,2026-07-01T09:01:00.650000000Z,2026-07-01T09:01:01.010000000Z,360,ok,repair
t2,drift=image;service=web_nginx;events=on,5,2026-07-01T09:01:02.010000000Z,2026-07-01T09:01:02.390000000Z,380,ok,repair
t2,drift=image;service=web_nginx;events=on,6,2026-07-01T09:01:03.390000000Z,2026-07-01T09:01:03.790000000Z,400,ok,repair
t2,drift=image;service=web_nginx;events=on,7,2026-07-01T09:01:04.790000000Z,2026-07-01T09:01:05.210000000Z,420,ok,repair
t2,drift=image;service=web_nginx;events=on,8,2026-07-01T09:01:06.210000000Z,2026-07-01T09:01:06.650000000Z,440,ok,repair
t2,drift=image;service=web_nginx;events=on,9,2026-07-01T09:01:07.650000000Z,2026-07-01T09:01:08.110000000Z,460,ok,repair
t2,drift=image;service=web_nginx;events=on,10,2026-07-01T09:01:09.110000000Z,2026-07-01T09:01:09.590000000Z,480,ok,repair
t2,drift=image;service=web_nginx;events=on,11,2026-07-01T09:01:10.590000000Z,2026-07-01T09:01:11.090000000Z,500,ok,repair
t2,drift=image;service=web_nginx;events=on,12,2026-07-01T09:01:12.090000000Z,2026-07-01T09:01:12.610000000Z,520,ok,repair
t2,drift=image;service=web_nginx;events=on,13,2026-07-01T09:01:13.610000000Z,2026-07-01T09:01:20.610000000Z,7000,timeout,repair
